phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1,2.418666,0.259654,2.353322,0.326631,0.00055000
1,2,1.865571,0.556190,1.731105,0.496812,0.00100000
1,3,1.519773,0.634286,1.371261,0.589014,0.00075000
1,4,1.435412,0.654892,1.363452,0.577244,0.00025000
1,5,1.413697,0.663896,1.329264,0.585581,0.00000000
2,1,1.342200,0.692641,1.178018,0.626287,0.00005500
2,2,1.164381,0.765368,0.897403,0.723884,0.00010000
2,3,0.977286,0.841299,0.719822,0.789603,0.00009969
2,4,0.892476,0.877056,0.706978,0.794017,0.00009875
2,5,0.837896,0.891775,0.597544,0.826385,0.00009719
2,6,0.790152,0.911688,0.600579,0.823933,0.00009505
2,7,0.774928,0.916017,0.591975,0.824914,0.00009234
2,8,0.757324,0.924935,0.548799,0.839137,0.00008909
2,9,0.742802,0.929870,0.545177,0.848946,0.00008536
2,10,0.723771,0.936364,0.534146,0.847965,0.00008117
2,11,0.714330,0.939307,0.544976,0.845022,0.00007660
2,12,0.697975,0.945368,0.529250,0.846003,0.00007169
2,13,0.688979,0.949004,0.546863,0.846003,0.00006651
2,14,0.674671,0.952121,0.541495,0.845022,0.00006113
2,15,0.678120,0.954286,0.546286,0.846493,0.00005560
2,16,0.668033,0.957489,0.516753,0.854831,0.00005000
2,17,0.666381,0.956017,0.514809,0.851398,0.00004440
2,18,0.662673,0.960519,0.509530,0.857283,0.00003887
2,19,0.656086,0.961299,0.536657,0.851398,0.00003349
2,20,0.653731,0.962684,0.516807,0.856793,0.00002831
2,21,0.639365,0.968658,0.511719,0.857773,0.00002340
2,22,0.645243,0.965455,0.523635,0.856302,0.00001883
2,23,0.636507,0.969091,0.526610,0.855812,0.00001464
2,24,0.640733,0.967706,0.514603,0.861697,0.00001091
2,25,0.640067,0.968485,0.514217,0.858264,0.00000766
2,26,0.638978,0.969437,0.520392,0.859735,0.00000495
2,27,0.638013,0.968312,0.512809,0.859245,0.00000281
2,28,0.629231,0.972121,0.519979,0.860716,0.00000125
2,29,0.635803,0.969870,0.514786,0.861206,0.00000031
2,30,0.636248,0.969091,0.514101,0.860226,0.00000000
